count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,model,window,distance
40224.0,2.381563245823389,17.16390547420783,1.0,1.0,1789.0,0.55,0.975393581957322,0.5478693176016024,0.6551802652493081,0.9824890556597874,0.9631147540983608,0.9727054403370357,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_dataset,4352,cosine
31338.0,3.056863871338311,25.886421075041063,1.0,1.0,2192.0,0.6,0.9643589967872817,0.6032540842689736,0.7004651788759724,0.973775017253278,0.9549180327868853,0.9642543419059364,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_dataset,4352,cosine
22035.0,4.347447243022464,38.92011957484489,1.0,1.0,2556.0,0.65,0.9485316490824056,0.6564230559287135,0.7385470381709861,0.959087332808812,0.930327868852459,0.9444887217916796,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_dataset,4352,cosine
13224.0,7.244101633393829,66.01899655338613,1.0,1.0,2928.0,0.7,0.9171813323512424,0.7117777345222371,0.7653737369995218,0.9366336633663368,0.918032786885246,0.9272399488911836,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_dataset,4352,cosine
6263.0,15.295545265847036,137.29398081471598,1.0,1.0,5534.0,0.75,0.8251821852734209,0.7481445910658608,0.7132683276378031,0.8934306569343066,0.8319672131147541,0.8616041860997354,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_dataset,4352,cosine
26730.0,3.583838383838384,32.575698365376404,1.0,1.0,2407.0,0.6,0.9808735590730552,0.6092080806096576,0.7157788313921394,0.9849119865884324,0.9631147540983608,0.9738914214670534,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_all_tweets,4352,cosine
18256.0,5.247370727432077,49.30325328667979,1.0,1.0,2592.0,0.65,0.9713640112554948,0.6678716381440943,0.758209317445799,0.981169474727453,0.9467213114754098,0.9636376277549884,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_all_tweets,4352,cosine
10835.0,8.841347485002307,81.67181874514156,1.0,1.0,3673.0,0.7,0.957226455058344,0.7231330219311604,0.7918454519616257,0.9659367396593674,0.9344262295081968,0.9499202417933004,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_all_tweets,4352,cosine
5285.0,18.12601702932829,144.60294122797933,1.0,1.0,4757.0,0.75,0.9180364131963276,0.7654262448887358,0.7936718249200991,0.9479674796747968,0.889344262295082,0.9177206237056006,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_all_tweets,4352,cosine
2246.0,42.65182546749777,269.8104256749584,1.0,1.0,6283.0,0.8,0.7961495630547673,0.8142564577078862,0.7269740758362114,0.894484412470024,0.7336065573770492,0.8060970088436812,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,tfidf_all_tweets,4352,cosine
51116.0,1.8740903044056656,13.673349768444856,1.0,1.0,1690.0,0.3,0.9817553073616552,0.4502925515746355,0.566141603158659,0.9864960909737028,0.930327868852459,0.9575890380982918,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,use,4352,cosine
25945.0,3.692272114087493,41.26857924527055,1.0,1.0,3331.0,0.4,0.9612578484891316,0.587348993274253,0.6843344458726593,0.967391304347826,0.9098360655737704,0.9377313716184148,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,use,4352,cosine
15699.0,6.102044716223963,80.31556222333656,1.0,1.0,5605.0,0.45,0.9206272133170668,0.6654375619522821,0.7204161547011482,0.9533622559652928,0.8729508196721312,0.9113863048906932,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,use,4352,cosine
8781.0,10.90946361462248,203.41917376013103,1.0,1.0,16860.0,0.5,0.882454709138064,0.7140463048249268,0.7255837609969633,0.9212034383954156,0.8483606557377049,0.8832827877283678,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,use,4352,cosine
4442.0,21.565961278703288,371.8357610353271,1.0,1.0,22540.0,0.55,0.7974588796482167,0.7470482929206649,0.6815763076621661,0.8831168831168831,0.7336065573770492,0.8014485596707818,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,use,4352,cosine
