count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,sub_model,model,window,distance,datetime_of_run,ami,ari,cluster_algo,daily
12210.0,7.845700245700246,110.31324556333476,1.0,1.0,6655.0,0.45,0.9115286195384203,0.6812884042158678,0.7279584984409148,0.9566326530612244,0.9098360655737704,0.9326477112321032,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,Wissam42/sentence-croissant-llm-base,sbert,4352,cosine,,,,,
10413.0,9.199654278305964,127.38275134362884,1.0,1.0,6945.0,0.46,0.9127206153872398,0.6945105878981236,0.7374543340675596,0.956338028169014,0.9057377049180328,0.9303503561840872,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,Wissam42/sentence-croissant-llm-base,sbert,4352,cosine,,,,,
8823.0,10.857531451887112,150.4360155559783,1.0,1.0,7836.0,0.47,0.9036417654754456,0.7082756639812591,0.7412142974354599,0.9583975346687212,0.8852459016393442,0.9203704718583876,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,Wissam42/sentence-croissant-llm-base,sbert,4352,cosine,,,,,
7420.0,12.910512129380054,175.32541849258155,1.0,1.0,8789.0,0.48,0.8835049313294658,0.7235817058788877,0.7407609439886464,0.9430051813471504,0.8688524590163934,0.9044114199990624,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,Wissam42/sentence-croissant-llm-base,sbert,4352,cosine,,,,,
6173.0,15.51854851773854,205.95910705612783,1.0,1.0,9065.0,0.49,0.8619580288858378,0.7250154182006757,0.7214510866747507,0.9349904397705544,0.8278688524590164,0.8781749806634009,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,Wissam42/sentence-croissant-llm-base,sbert,4352,cosine,,,,,
15638.0,4.654687300166262,26.56620668608135,1.0,1.0,1731.0,0.3,0.9281727420879292,0.5187045209439379,0.6152808640254867,0.9557705597788528,0.8822314049586777,0.9175298176487544,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
9919.0,7.338441375138623,47.076320596557096,1.0,1.0,2905.0,0.35,0.8936050879917347,0.5969637727166772,0.6581381297413526,0.9284525790349416,0.8533057851239669,0.8892945001302371,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
7444.0,9.778344975819453,61.37166304588912,1.0,1.0,3345.0,0.38,0.8702493171094196,0.6305829623587864,0.6670594697659858,0.9119617224880384,0.8161157024793388,0.8613807124951518,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
6109.0,11.915207071533803,74.1110779779528,1.0,1.0,3687.0,0.4,0.8474801770003032,0.6470711584903082,0.6619223024499888,0.8953488372093024,0.78099173553719,0.8342696629213483,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
3692.0,19.715601300108343,129.02421584551593,1.0,1.0,5220.0,0.45,0.7739374427650347,0.6898404405159707,0.6310604799859719,0.8786206896551724,0.6983471074380165,0.778179767889865,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
2118.0,34.36732766761095,245.6645717699192,1.0,1.0,6054.0,0.5,0.6872536915104545,0.7094407898002402,0.5613805626747796,0.8393574297188755,0.5723140495867769,0.6805776792904208,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
605.0,120.31404958677686,963.5766811286298,1.0,1.0,18030.0,0.6,0.4162895636606921,0.7280786574406862,0.3226047180052691,0.7677725118483413,0.2892561983471074,0.4202023196353799,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,paraphrase-multilingual-MiniLM-L12-v2,sbert,2504,cosine,,,,,
15167.0,4.79923518164436,24.85521263416488,1.0,1.0,1041.0,0.23,0.950497772631312,0.517377131029096,0.6255313070451248,0.9649006622516556,0.8884297520661157,0.9250875607609664,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
